repository_name,type,event_date,total_events
BVLC/caffe,IssueCommentEvent,2018-05-07,4
BVLC/caffe,WatchEvent,2018-02-18,4
BVLC/caffe,IssueCommentEvent,2018-06-27,4
BVLC/caffe,IssueCommentEvent,2017-01-07,4
BVLC/caffe,IssueCommentEvent,2017-06-26,4
BVLC/caffe,IssueCommentEvent,2017-11-11,4
BVLC/caffe,IssueCommentEvent,2018-05-29,4
BVLC/caffe,IssueCommentEvent,2017-10-02,4
BVLC/caffe,IssueCommentEvent,2016-08-06,4
BVLC/caffe,IssueCommentEvent,2016-08-08,4
BVLC/caffe,IssueCommentEvent,2016-07-10,4
BVLC/caffe,IssueCommentEvent,2017-11-30,4
BVLC/caffe,IssueCommentEvent,2016-01-01,4
BVLC/caffe,IssueCommentEvent,2018-04-27,4
BVLC/caffe,IssueCommentEvent,2017-02-11,4
BVLC/caffe,IssueCommentEvent,2017-08-27,4
BVLC/caffe,IssueCommentEvent,2017-08-08,4
BVLC/caffe,IssueCommentEvent,2017-03-26,4
BVLC/caffe,IssueCommentEvent,2016-07-03,4
BVLC/caffe,IssueCommentEvent,2018-04-16,4
BVLC/caffe,IssueCommentEvent,2016-07-31,4
BVLC/caffe,IssueCommentEvent,2017-09-30,4
BVLC/caffe,WatchEvent,2015-04-04,4
BVLC/caffe,IssueCommentEvent,2016-12-27,4
BVLC/caffe,IssueCommentEvent,2016-10-08,4
BVLC/caffe,IssueCommentEvent,2016-11-13,4
BVLC/caffe,IssueCommentEvent,2015-10-04,4
BVLC/caffe,IssueCommentEvent,2017-12-24,4
BVLC/caffe,IssueCommentEvent,2017-09-02,4
BVLC/caffe,IssueCommentEvent,2018-04-02,4
BVLC/caffe,IssueCommentEvent,2016-11-12,4
BVLC/caffe,IssueCommentEvent,2018-05-10,4
BVLC/caffe,IssueCommentEvent,2016-02-07,4
BVLC/caffe,WatchEvent,2018-05-26,4
BVLC/caffe,IssueCommentEvent,2018-04-14,4
BVLC/caffe,IssueCommentEvent,2018-05-19,4
BVLC/caffe,IssueCommentEvent,2017-09-25,4
BVLC/caffe,IssueCommentEvent,2016-09-04,4
BVLC/caffe,IssueCommentEvent,2018-01-21,4
BVLC/caffe,IssueCommentEvent,2018-02-04,4
BVLC/caffe,WatchEvent,2015-05-31,4
BVLC/caffe,IssueCommentEvent,2016-12-30,4
BVLC/caffe,IssueCommentEvent,2015-11-07,4
BVLC/caffe,IssueCommentEvent,2017-10-26,4
BVLC/caffe,IssueCommentEvent,2017-01-29,4
BVLC/caffe,IssueCommentEvent,2018-01-27,4
BVLC/caffe,IssueCommentEvent,2018-05-22,4
BVLC/caffe,IssueCommentEvent,2017-10-09,4
BVLC/caffe,IssueCommentEvent,2017-08-28,4
BVLC/caffe,IssueCommentEvent,2017-08-04,4
BVLC/caffe,IssueCommentEvent,2017-11-27,4
BVLC/caffe,IssueCommentEvent,2017-06-11,4
BVLC/caffe,IssueCommentEvent,2017-08-10,4
BVLC/caffe,IssueCommentEvent,2016-04-23,4
BVLC/caffe,IssueCommentEvent,2015-12-12,4
BVLC/caffe,IssueCommentEvent,2018-04-01,4
BVLC/caffe,WatchEvent,2017-05-28,4
BVLC/caffe,IssueCommentEvent,2018-04-08,5
BVLC/caffe,IssueCommentEvent,2017-12-30,5
BVLC/caffe,IssueCommentEvent,2018-05-25,5
BVLC/caffe,IssueCommentEvent,2016-12-04,5
BVLC/caffe,IssueCommentEvent,2016-10-06,5
BVLC/caffe,IssueCommentEvent,2018-02-19,5
BVLC/caffe,IssueCommentEvent,2016-02-13,5
BVLC/caffe,IssueCommentEvent,2017-07-14,5
BVLC/caffe,WatchEvent,2015-05-16,5
BVLC/caffe,IssueCommentEvent,2018-04-24,5
BVLC/caffe,IssueCommentEvent,2017-02-26,5
BVLC/caffe,IssueCommentEvent,2017-03-13,5
BVLC/caffe,IssueCommentEvent,2017-10-27,5
BVLC/caffe,IssueCommentEvent,2017-05-06,5
BVLC/caffe,WatchEvent,2017-12-31,5
BVLC/caffe,IssueCommentEvent,2017-08-22,5
BVLC/caffe,IssueCommentEvent,2015-09-20,5
BVLC/caffe,IssueCommentEvent,2017-06-03,5
BVLC/caffe,IssueCommentEvent,2018-01-09,5
